Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C21, C3, C31, C37, C4, C40, C41, C45, C47, C48, C49, C5, C50, C51, C7",0402,19,100nF,C1525
"C12, C16, C17, C25, C26, C27, C28, C29, C30, C32, C33, C34, C35, C38, C39, C43, C44",0805,17,10uF,C22367830
"C13, C15",0603,2,0.1uF,C1591
C14,0805,1,4.7uF,C98192
"C18, C20, C22",0603,3,1uF,C5199872
C19,0603,1,47nF,C1622
C23,0603,1,2.2uF,C23630
C24,0402,1,10nF,C15195
"C36, C42, C46",0402,3,1nF,C14442
C6,0402,1,1uF,C29266
"C8, C9",0402,2,33pF,C70465
"D1, D2",0603,2,LED RED,C19171390
D3,0603,1,LED GREEN,C2986048
"D4, D5",D_SOD-123,2,MBR0530,C5204746
FB1,0603,1,fcm 1608-0603,C19330
"J1, J8, J9",Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal,3,Conn_01x03_MountingPin,C293630
J10,Molex_PicoBlade_53261-0671_1x06-1MP_P1.25mm_Horizontal,1,Conn_01x06_MountingPin,C17393620
J11,Molex_PicoBlade_53261-0571_1x05-1MP_P1.25mm_Horizontal,1,Conn_01x05_MountingPin,C17256390
"J2, J3",AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,2,Conn_01x02,C431092
"J4, J5, J6",SolderWire-0.25sqmm_1x01_D0.65mm_OD2mm,3,Conn_01x01,
J7,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,C2927039
L1,L_SMD_4X4,1,22uH,C6364792
"Q1, Q2, Q3, Q4, Q5, Q6",TDSON-8-1,6,CSD18532NQ5B,C2862136
"R1, R3",0402,2,10k,C60490
"R10, R11, R7, R8",0402,4,R,
"R12, R15, R17, R21, R22, R25",0603,6,10R,C844919
"R13, R19, R23",R_Shunt_Ohmite_LVK20,3,0.01R,C844898
"R14, R2, R20, R24, R32, R33, R34, R4, R5",0402,9,1k,C852624
R16,0603,1,39k,C163424
R18,0603,1,2k2,C125931
R26,0402,1,1k8,C163481
"R27, R28",0402,2,100R,C705627
"R29, R31",0402,2,30R,C852718
R30,0603,1,120R,C125925
"R35, R36, R37",0402,3,2k,C852711
R6,0603,1,18k,C309650
R9,0603,1,3k3,C144661
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_D1.0mm,7,TestPoint,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,C15742
U10,TSSOP-14_4.4x5mm_P0.65mm,1,AS5047D,C2693743
U2,QFN50P700X700X100-49N,1,DRV8323RHRGZR,C543035
U3,SOT-23-5,1,LP2985-3.3,C95414
"U4, U6, U7",TSSOP-8_4.4x3mm_P0.65mm,3,INA240A1PW,C93965
U5,SOT-23-5,1,LM321,C5252901
U8,SOT-23-6,1,USBLC6-2SC6,C2827654
U9,HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,1,TJA1051TK-3,C2875699
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
