Designator,Mid X,Mid Y,Rotation,Layer
C1,136.7525,-92.69,180.0,top
C10,141.8325,-93.0075,180.0,top
C11,148.34125,-82.2125,0.0,top
C12,148.65875,-107.295,270.0,top
C13,146.75375,-106.81875,270.0,top
C14,141.03875,-102.5325,270.0,top
C15,141.03875,-98.88125,270.0,top
C16,136.59375,-106.50125,270.0,top
C17,150.7225,-107.295,270.0,top
C18,145.0075,-106.81875,270.0,top
C19,143.26125,-106.81875,270.0,top
C2,141.8325,-93.96,180.0,top
C20,146.595,-93.48375,90.0,top
C21,149.77,-95.70625,0.0,top
C22,131.74875,-107.3625,180.0,top
C23,131.6725,-101.42125,0.0,top
C24,133.895,-103.96125,270.0,top
C25,172.9475,-107.13625,180.0,top
C26,172.9475,-109.2,180.0,top
C27,151.675,-115.55,90.0,top
C28,149.61125,-111.26375,270.0,top
C29,147.5475,-111.26375,270.0,top
C3,148.34125,-80.9425,0.0,top
C30,145.48375,-111.26375,270.0,top
C31,156.91375,-98.7225,180.0,top
C32,151.675,-111.26375,270.0,top
C33,145.48375,-115.55,90.0,top
C34,147.5475,-115.55,90.0,top
C35,149.61125,-115.55,90.0,top
C36,154.215,-103.32625,270.0,top
C37,153.2625,-76.18,90.0,top
C38,172.9475,-87.14,180.0,top
C39,172.9475,-89.1975,180.0,top
C4,136.27625,-77.7675,0.0,top
C40,156.91375,-88.72125,180.0,top
C41,159.90375,-73.79875,0.0,top
C42,154.215,-93.325,270.0,top
C43,172.9475,-97.135,180.0,top
C44,172.9475,-99.19875,180.0,top
C45,156.91375,-78.72,180.0,top
C46,154.215,-83.32375,270.0,top
C47,124.6325,-108.36375,270.0,top
C48,127.01375,-104.8925,180.0,top
C49,130.4025,-110.745,270.0,top
C5,131.355,-89.515,90.0,top
C50,146.595,-74.11625,0.0,top
C51,144.055,-95.23,90.0,bottom
C6,130.085,-89.515,90.0,top
C7,130.72,-87.76875,180.0,top
C8,130.72,-80.14875,180.0,top
C9,130.72,-85.54625,0.0,top
D1,122.78,-104.0775,180.0,top
D2,136.27625,-72.52875,90.0,top
D3,139.13375,-72.52875,90.0,top
D4,137.86375,-99.04,180.0,top
D5,128.97375,-93.6425,180.0,top
FB1,130.72,-91.57875,180.0,top
J1,124.52625,-85.0275,245.0,top
J10,148.5,-69.62875,180.0,bottom
J11,148.5,-69.64625,180.0,top
J2,157.5,-114.975,180.0,bottom
J3,139.5,-114.975,180.0,bottom
J7,121.5,-96.5,270.0,top
J8,139.5,-119.5,0.0,top
J9,157.5,-119.5,0.0,top
L1,137.86375,-102.37375,180.0,top
Q1,169.91625,-103.1675,270.0,top
Q2,162.49625,-103.1675,270.0,top
Q3,169.91625,-93.16625,270.0,top
Q4,162.47,-93.16625,270.0,top
Q5,169.91625,-83.165,270.0,top
Q6,162.455,-83.165,270.0,top
R1,130.72,-86.6575,0.0,top
R10,149.135,-93.6425,270.0,top
R11,148.02375,-93.6425,270.0,top
R12,163.74,-106.81875,0.0,top
R13,163.74,-104.755,0.0,bottom
R14,154.215,-100.945,270.0,top
R15,159.77125,-106.81875,0.0,top
R16,159.90375,-76.65625,180.0,top
R17,163.74,-96.8175,0.0,top
R18,159.90375,-75.06875,0.0,top
R19,163.74,-94.75375,0.0,bottom
R2,122.78,-102.64875,180.0,top
R20,154.215,-90.94375,270.0,top
R21,159.77125,-96.8175,0.0,top
R22,163.74,-86.81625,0.0,top
R23,163.74,-84.7525,0.0,bottom
R24,154.215,-80.9425,270.0,top
R25,159.77125,-86.81625,0.0,top
R26,129.165,-98.88125,0.0,top
R27,131.99,-95.70625,0.0,top
R28,131.99,-97.29375,0.0,top
R29,129.29125,-110.745,90.0,top
R3,138.81625,-77.7675,180.0,top
R30,127.06875,-110.745,180.0,top
R31,124.84625,-110.745,90.0,top
R32,151.04,-74.75125,90.0,top
R33,149.77,-74.75125,90.0,top
R34,148.5,-74.75125,90.0,top
R35,151.04,-77.45,270.0,top
R36,149.77,-77.45,270.0,top
R37,148.5,-77.45,270.0,top
R4,134.8475,-72.52875,90.0,top
R5,137.705,-72.52875,90.0,top
R6,140.5625,-105.7075,0.0,top
R7,151.3575,-93.6425,270.0,top
R8,150.24625,-93.6425,270.0,top
R9,140.5625,-107.45375,180.0,top
U1,139.76875,-85.22875,270.0,top
U10,148.5,-96.5,270.0,bottom
U2,147.38875,-100.31,90.0,top
U3,131.6725,-104.4375,270.0,top
U4,156.59625,-103.1675,0.0,top
U5,155.935,-75.8625,0.0,top
U6,156.59625,-93.16625,0.0,top
U7,156.59625,-83.165,0.0,top
U8,128.65625,-96.5,180.0,top
U9,127.06625,-107.72875,270.0,top
Y1,130.72,-82.8475,270.0,top
